iter	RMSE
0	0.3880096244
1	0.3777210276
2	0.3679457303
3	0.3576975933
4	0.3481420153
5	0.3398112777
6	0.3313473904
7	0.3233905225
8	0.3160095344
9	0.3085260304
10	0.3010946493
11	0.2937488308
12	0.2868476114
13	0.280362273
14	0.2742344437
15	0.2682315034
16	0.2626153709
17	0.2573609818
18	0.2519688134
19	0.2473860694
20	0.2422630558
21	0.2378018583
22	0.2333175583
23	0.2287789433
24	0.2248906629
25	0.2207185039
26	0.2172079538
27	0.2133819417
28	0.2096498108
29	0.2060433008
30	0.2026383458
31	0.1994610125
32	0.1963456554
33	0.1934205216
34	0.1904881269
35	0.1877809775
36	0.185098564
37	0.1826550652
38	0.1803087185
39	0.1781584597
40	0.1758392636
41	0.1737446873
42	0.1716022038
43	0.1695401219
44	0.167902653
45	0.1662370128
46	0.1643630123
47	0.1626697376
48	0.1610669191
49	0.1595822716
50	0.1580183726
51	0.1566163486
52	0.1553092538
53	0.1539340982
54	0.1525727985
55	0.1514254203
56	0.1501520561
57	0.148883442
58	0.1478366494
59	0.146608045
60	0.145575382
61	0.1446205351
62	0.1435927707
63	0.1423893874
64	0.1412781127
65	0.1403414557
66	0.1395346463
67	0.1386787335
68	0.1377019201
69	0.1367432158
70	0.1359048622
71	0.1349012991
72	0.1340822327
73	0.1334436582
74	0.1326519551
75	0.1319886973
76	0.1312987432
77	0.1304995236
78	0.1297514758
79	0.1289215101
80	0.1283695894
81	0.1277957966
82	0.1272143798
83	0.1268062598
84	0.1260418975
85	0.1253747876
86	0.1247136351
87	0.1239804773
88	0.1233308117
89	0.1227364322
90	0.1221310018
91	0.1216263922
92	0.1210728911
93	0.1207170954
94	0.1201735225
95	0.119711723
96	0.1193139337
97	0.1189337197
98	0.118518855
99	0.1181578818
100	0.1176938929
101	0.1170930601
102	0.1164644886
103	0.1159687472
104	0.1154368555
105	0.1149401921
106	0.1144431103
107	0.1139897477
108	0.1136439656
109	0.1132644888
110	0.1128970599
111	0.1123489581
112	0.1119776259
113	0.1116183373
114	0.1113571467
115	0.1110096565
116	0.1105998314
117	0.1101774364
118	0.1097765501
119	0.1093308741
120	0.1090603753
121	0.1088844353
122	0.1085858028
123	0.1080748223
124	0.1077106902
125	0.1074356084
126	0.1071258451
127	0.1068488814
128	0.1064767791
129	0.1061893799
130	0.1059412645
131	0.1056409091
132	0.1055173194
133	0.105208767
134	0.1048875256
135	0.1046332771
136	0.1042846072
137	0.1040106994
138	0.1038307334
139	0.1036202215
140	0.1034302575
141	0.1032194768
142	0.1028879648
143	0.1026173832
144	0.102342656
145	0.1021046244
146	0.1019324693
147	0.1017358862
148	0.1014511019
149	0.1011867656
150	0.100824598
151	0.1005250578
152	0.1004122257
153	0.1002203997
154	0.1000833686
155	0.09986537749
156	0.09963726071
157	0.09949450938
158	0.0993726735
159	0.09913416972
160	0.0989504201
161	0.09887819765
162	0.09866205821
163	0.09836048347
164	0.09816832088
165	0.09792892083
166	0.09775849541
167	0.09747395043
168	0.09727425302
169	0.09697879359
170	0.0967612539
171	0.09651021901
172	0.09630739042
173	0.09613185371
174	0.09594517363
175	0.09575403749
176	0.09555665791
177	0.09530945434
178	0.09513675078
179	0.09497137726
