iter	Passed	Remaining
0	3	3757
1	7	3541
2	10	3572
3	14	3698
4	18	3678
5	22	3682
6	25	3627
7	29	3677
8	33	3697
9	37	3690
10	40	3679
11	45	3713
12	48	3690
13	52	3700
14	56	3682
15	59	3660
16	63	3685
17	68	3735
18	72	3754
19	77	3773
20	81	3817
21	86	3854
22	92	3940
23	98	3990
24	102	3999
25	106	3975
26	110	3999
27	118	4126
28	124	4153
29	128	4162
30	133	4157
31	137	4166
32	143	4207
33	148	4218
34	152	4218
35	157	4220
36	162	4228
37	166	4223
38	171	4224
39	176	4224
40	179	4209
41	183	4181
42	187	4170
43	191	4155
44	194	4131
45	198	4122
46	202	4097
47	206	4089
48	210	4077
49	213	4061
50	217	4052
51	221	4041
52	225	4027
53	229	4013
54	232	3991
55	236	3981
56	240	3975
57	246	4005
58	250	4002
59	254	3989
60	259	3997
61	263	3981
62	266	3967
63	270	3958
64	274	3947
65	277	3931
66	281	3919
67	285	3909
68	289	3902
69	293	3894
70	297	3887
71	300	3877
72	304	3871
73	308	3859
74	312	3853
75	316	3845
76	320	3836
77	323	3827
78	327	3815
79	330	3804
80	334	3793
81	338	3788
82	342	3779
83	345	3772
84	349	3764
85	354	3763
86	357	3752
87	361	3744
88	364	3733
89	368	3726
90	372	3716
91	375	3704
92	378	3696
93	382	3688
94	386	3683
95	390	3676
96	394	3669
97	397	3661
98	402	3658
99	406	3654
100	409	3649
101	413	3641
102	417	3636
103	421	3629
104	424	3621
105	428	3613
106	432	3607
107	436	3604
108	440	3599
109	444	3593
110	448	3588
111	451	3582
112	455	3574
113	459	3567
114	462	3560
115	466	3554
116	470	3550
117	473	3542
118	477	3534
119	481	3527
120	484	3521
121	488	3516
122	492	3510
123	496	3506
124	500	3502
125	504	3496
126	507	3491
127	511	3483
128	515	3479
129	519	3474
130	523	3469
131	526	3464
132	530	3458
133	533	3450
134	537	3443
135	541	3438
136	544	3431
137	548	3426
138	552	3421
139	555	3413
140	559	3408
141	563	3406
142	567	3402
143	571	3396
144	574	3390
145	578	3384
146	582	3380
147	586	3374
148	589	3369
149	593	3364
150	597	3360
151	601	3356
152	605	3351
153	609	3347
154	613	3342
155	616	3338
156	620	3331
157	624	3326
158	628	3324
159	632	3318
160	635	3313
161	639	3309
162	643	3306
163	647	3301
164	651	3295
165	655	3293
166	658	3285
167	662	3280
168	665	3274
169	669	3270
170	673	3266
171	677	3263
172	681	3258
173	685	3253
174	689	3249
175	693	3247
176	696	3240
177	700	3236
178	704	3231
179	707	3225
180	711	3221
181	715	3216
182	719	3211
183	722	3205
